program_name,full_name,agency,piid,recipient_name,award_amount,description,start_date,end_date,awarding_agency,awarding_sub_agency,source
INSCOM,Intelligence and Security Command,DoD,0005,PLURIBUS INTERNATIONAL LLC,17529488.19,HQ INSCOM G8 PROGRAM&RESOURCE MANAGEMENT SUPPORT SERVICES,2013-02-15,2016-10-29,Department of Defense,Defense Contract Management Agency,USAspending
INSCOM,Intelligence and Security Command,DoD,GST0011AJ0015,"MHM INNOVATIONS, INC.",17386202.2,INSCOM SETA,2010-12-28,2013-08-31,General Services Administration,Federal Acquisition Service,USAspending
INSCOM,Intelligence and Security Command,DoD,W56KGY20F0015,"L3 TECHNOLOGIES, INC.",14830668.12,TASK ORDER W56KGY-20-F-0015 IS ISSUED TO PROVIDE COMMON DATA LINK/SATELLITE COMMUNICATION (CDL/SATCOM) NON-RECURRING ENGINEERING NRE AND EQUIPMENT PROCUREMENT IN SUPPORT OF THE US ARMY INTELLIGENCE AND SECURITY COMMAND INSCOM.,2019-12-09,2021-09-30,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W911W418C0004,"MHM INNOVATIONS, INC.",12431512.23,"IGF::OT::IGF THIS REQUIREMENT IS FOR INSCOM G7 ENGINEERING TECHNICAL ASSISTANCE (ETA) SUPPORT. THE SERVICES WILL BE PERFORMED AT FORT BELVOIR, VA, FORT MEADE, MD, FORT BRAGG, NC, AND FORT GORDON, GA WITH THE POTENTIAL FOR TEMPORARY DUTIES TO OTHER CONUS AND OCONUS LOCATIONS.",2018-01-31,2019-01-31,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W912DY21F0427,SPECTRUM SOLUTIONS INC,11002472.36,PROVIDE PREVENTIVE MAINTENANCE OF THE UTILITY MONITORING AND CONTROL SYSTEMS (UMCS) AND DIRECT DIGITAL CONTROL (DDC) SYSTEM AT THE NOLAN BUILDING AND INSCOM WORLDWIDE CORRECTIVE MAINTENANCE.,2021-09-28,2026-09-27,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0147,"CACI TECHNOLOGIES, LLC",8891733.0,SETA SUPPORT FOR INSCOM AND DCSG-A,2013-09-23,2015-09-22,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W9128A23F0033,"INSIGHT PACIFIC, LLC",8726600.0,REPAIR AND RENOVATION OF INSCOM BLDG 1543,2023-09-20,2026-05-24,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,75P00118F00199,"INTEGRAL FEDERAL, INC.",6883929.44,INSCOM SETA,2018-08-27,2019-09-24,Department of Health and Human Services,Office of the Assistant Secretary for Administration,USAspending
INSCOM,Intelligence and Security Command,DoD,HC102823F0384,MICROSOFT CORPORATION,6688597.11,HQ INSCOM G6/GISA MICROSOFT UNIFIED SUPPORT (UNIFIED SUPPORT),2023-04-24,2026-04-24,Department of Defense,Defense Information Systems Agency,USAspending
INSCOM,Intelligence and Security Command,DoD,0026,"EMPOWER AI, INC.",6502881.64,"THIS IS A COST PLUS FIXED FEE (CPFF) TASK ORDER WITH COST REIMBURSABLE LINE ITEMS FOR MATERIALS AND OTHER DIRECT COSTS (ODCS) IN SUPPORT OF THE COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS, AND INTELLIGENCE/INFORMATION TECHNOLOGY (C4I/IT) EFFORT FOR INTELLIGENCE AND SECURITY COMMAND (INSCOM) 780TH MILITARY INTELLIGENCE (MI) BRIGADE (BDE) AT FT. MEADE, MD. THE C4I/IT EQUIPMENT AND CAPABILITIES WHICH INCLUDES VOICE, IT SYSTEMS, APPLICATIONS, COMPUTER EQUIPMENT ROOM (CER) INFRASTRUCTURE AND THE ASSO",2013-09-23,2014-10-23,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W9128Z20F0018,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",6325040.22,"PROVIDE SUPPORT OF THE COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS, AND INTELLIGENCE/INFORMATION TECHNOLOGY (C4I/IT) EFFORT FOR INTELLIGENCE AND SECURITY COMMAND (INSCOM) BUILDING 21720, FORT GORDON, GA.",2020-07-03,2021-05-04,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,HHSP233201700309W,"INTEGRATION TECHNOLOGIES GROUP, INC.",6069596.61,IGF::OT::IGF INSCOM WINDOWS 10 HARDWARE - WORKSTATIONS,2017-09-27,2017-11-26,Department of Health and Human Services,Office of the Assistant Secretary for Administration,USAspending
INSCOM,Intelligence and Security Command,DoD,N6523608C6037,ADVANCED C4 SOLUTIONS INC,5719490.37,INSCOM SUPPORT,2008-09-29,2010-02-01,Department of Defense,Department of the Navy,USAspending
INSCOM,Intelligence and Security Command,DoD,HHSP233201700223W,"THUNDERCAT TECHNOLOGY, LLC",5054644.36,IGF::OT::IGF BROCADE INSCOM PREMIER NDP SUPPORT,2017-09-01,2019-08-31,Department of Health and Human Services,Office of the Assistant Secretary for Administration,USAspending
INSCOM,Intelligence and Security Command,DoD,W56HZV13F0029,"STREIT USA ARMORING, LLC",4384144.6,ARMORED SUVS FOR U.S. ARMY INSCOM,2013-06-13,2014-05-12,Department of Defense,Defense Contract Management Agency,USAspending
INSCOM,Intelligence and Security Command,DoD,0031,"EATON ENERGY SOLUTIONS, INC.",4218142.32,"NEW TASK ORDER AWARD FOR ELECTRICAL UPGRADES, INSCOM, FT BELVOIR, VA. THE POP END DATE IS 31 DECEMBER 2013",2012-09-27,2014-10-15,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0015,"AMENTUM SERVICES, INC.",4153116.57,"IGF::CL,CT::IGF TASK ORDER FOR ARMY INTELLIGENCE&SECURITY COMMAND (INSCOM) GOUND INTELLIGENCE ACTIVITY - WEST (GISA - W) COMMAND, CONTROL,  COMMUNICATIONS, COMPUTERS INTELLIGENCE SURVEILLANCE AND RECONNAISSANCE.",2015-09-28,2018-09-27,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0004,SCIENTIFIC RESEARCH CORPORATION,4069709.37,LOT I - BASE YEAR INSCOM ENGINEERING SUP,2012-09-24,2013-09-23,Department of Defense,Defense Contract Management Agency,USAspending
INSCOM,Intelligence and Security Command,DoD,W91RUS23F0250,"EMPOWER AI, INC.",21383340.15,"IT SERVICES FOR THE UNITED STATES ARMY INTELLIGENCE AND SECURITY COMMAND AND THE U.S. ARMY COUNTER INTELLIGENCE COMMAND IN BUILDINGS 4552, AND 4554 LOCATED AT PIKE PLACE, AND BUILDING 2600, FORT MEADE, MARYLAND.",2023-09-18,2026-03-10,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W56KGY21F0024,"L3 TECHNOLOGIES, INC.",3683490.7,TASK ORDER W56KGY21F0024 IS ISSUED FOR REMOTE SPLIT OPERATIONS (RSO) DATA LINK AND SATELLITE COMMUNICATION (SATCOM) SERVICES IN SUPPORT OF THE UNITED STATES ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM),2021-04-16,2022-10-31,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,HHSP233201500082W,"CASCADES TECHNOLOGIES, INC.",2756549.07,IGF::CT::IGF US ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM) INFORMATION TECHNOLOGY (IT)  SERVICE DESK,2015-08-12,2017-03-27,Department of Health and Human Services,Office of the Assistant Secretary for Administration,USAspending
INSCOM,Intelligence and Security Command,DoD,W56KGY20F0029,"L3 TECHNOLOGIES, INC.",1498435.84,TASK ORDER W56KGY-20-F-0029 IS ISSUED FOR REMOTE SPLIT OPERATIONS (RSO) DATA LINK AND SATELLITE COMMUNICATION (SATCOM) SERVICES IN SUPPORT OF THE UNITED STATES ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM).,2020-04-24,2021-05-08,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W912DY18F1161,EPC SERVICE INC,1428105.29,"MECHANICAL&CONTROLS SYSTEMS REPAIR FOR BUILDINGS 1543 AND 1547, 500TH MILITARY INTELLIGENCE BRIGADE FACILITY, INTELLIGENCE AND SECURITY COMMAND, (INSCOM), FORT SHAFTER, HAWAII",2018-09-29,2022-06-29,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0043,"EATON ENERGY SOLUTIONS, INC.",1062720.0,"IGF::OT::IGF AWARD A NEW TASK ORDER TO EATON ENERGY SOLUTIONS FOR THE NOLAN BUILDING 2444, UMCS ELECTRICAL SYSTEM UPGRADES INTELLIGENCE AND SECURITY COMMAND (INSCOM) HEADQUARTERS, FORT BELVOIR, VIRGINIA. THE PERIOD OF PERFORMANCE IS DATE OF AWARD THROUGH 01 DECEMBER, 2014.",2014-06-17,2015-05-29,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W56KGY19F0065,"L3 TECHNOLOGIES, INC.",907425.74,TASK ORDER W56KGY-19-F-0065 IS ISSUED TO PROVIDE COMMON DATA LINK/SATELLITE COMMUNICATION (CDL/SATCOM) IN SUPPORT OF THE US ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM).,2019-09-23,2020-12-31,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0038,"THE LOUIS BERGER GROUP, INC",734948.0,IGF::OT::IGF  US ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM) FACILITIES MASTER PLANNING SUPPORT FOR INSTALLATION STATUS REPORT - INFRASTRUCTURE ASSESSMENTS WITH PROJECT DEVELOPMENT,2014-09-22,2015-09-21,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0033,"OPTUMSERVE HEALTH SERVICES, INC.",286361.95,IGF::OT::IGF THE PURPOSE OF THIS ACTION IS TO PROCURE MEDICAL AND DENTAL ASSESSMENT SERVICES FOR THE RESERVE HEALTH READINESS PROGRAM FOR THE ARMY INTELLIGENCE AND SECURITY COMMAND.,2015-05-26,2016-05-25,Department of Defense,Defense Health Agency,USAspending
INSCOM,Intelligence and Security Command,DoD,YJ04,CDW GOVERNMENT LLC,249592.0,"THE CONTRACTOR TO PROVIDE SOFTWARE APPLICATION AND SUPPORT REQUIREMENTS TO INCLUDE F5 BIG-IP VIRTUAL EDITION, BIG-IP SERVICE AND BIG-IP TRAINING FOR NECESSARY TO SUPPORT THE CURRENT IT INFRASTRUCTURE OF THE NATIONAL GROUND INTELLIGENCE CENTER (NGIC), A SUBORDINATE TO THE HEADQUARTERS, U.S. ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM). THE SPECIFIC REQUIREMENTS CONSIST OF THE FOLLOWING:   - F5-BIG-VE-BT-10G-V13 BIG-IP VIRTUAL EDITION: BEST BUNDLE 10G  (LTM DNS AAM AFM APM ASM SDN) (V11.4.1-V15",2016-09-28,2017-09-27,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,CV01,"HDR ENVIRONMENTAL, OPERATIONS AND CONSTRUCTION, INC.",195089.53,"IGF::OT::IGF  REQUIREMENTS ANALYSES AND PLANNING CHARRETTE PROCESSING EXPLOITATION DISSEMINATION (PED) OPERATIONS CENTER INTELLIGENCE AND SECURITY COMMAND (INSCOM) FORT GORDON, GA",2016-09-29,2017-02-27,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,0017,"CTSC, LLC",173898.05,"U43600  SYSTEM ENGINEERING AND TECHNICAL ASSISTANCE IN SUPPORT OF US ARMY INTELLIGENCE AND SECURITY COMMAND, DEPUTY G3 FOR FORCE MANAGMENT, CHAMPIION JCTD",2006-09-23,2007-12-04,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W911W418F2006,"INTEGRAL FEDERAL, INC.",170732.8,ISOC DATA ENTRY SUPPORT - BASE.  THIS IS A SERVICES CONTRACT TO PROVIDE DATA ENTRY SUPPORT SERVICES IN SUPPORT OF THE ARMYS SECURITY RESILIENCY AND INSIDER THREAT (INT) PROGRAM SUPPORTING THE U.S. ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM) SECURITY OPERATIONS CENTER (ISOC).  THE CONTRACT SHALL PROCESS SECURITY ALERTS INTO ISOCS CASE MANAGEMENT SYSTEM TO ENSURE THAT THE ALERTS ARE ACTIONED PROPERLY.,2018-09-14,2019-06-30,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,W912DR22C0017,INTERNATIONAL SUPPORT GROUP LLC,169520.02,"UNITED STATES ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM) TURNSTILE, SIDEWALK, AND SIGNAGE AT FORT BELVOIR, VA",2022-04-27,2023-03-15,Department of Defense,Department of the Army,USAspending
INSCOM,Intelligence and Security Command,DoD,YJ05,CDW GOVERNMENT LLC,102665.0,"CONTRACTOR TO PROVIDE SWITCHES AND CABLE COMPUTER COMPONENTS FOR THE NATIONAL GROUND INTELLIGENCE CENTER (NGIC), A SUBORDINATE TO THE HEADQUARTERS, U.S. ARMY INTELLIGENCE AND SECURITY COMMAND (INSCOM).  SPECIFICALLY, THE ITEMS TO BE PROCURED CONSIST OF THE FOLLOWING:  AVOCENT- 145 QTY- 4-PORT DVI-I SECURE KVM/PART #SC840-001 AVOCENT- 580 QTY- DVI CABLES 10FT/PART #CBL0095 STARTECH- 85 QTY- STARTECH.COM DISPLAYPORT TO DVI DUAL LINK ACTIVE ADAPTER - DP TO DVI-D/PART #DP2DVID2 FIBERSHOP- 74 QTY- AD",2016-09-29,2016-10-29,Department of Defense,Department of the Army,USAspending
DIA,Defense Intelligence Agency,DoD,W911QY20C0119,ASTRAZENECA PHARMACEUTICALS LP,1107934203.08,SARS-COV-2 THERAPEUTIC AZD7442,2020-09-30,2023-07-01,Department of Defense,Department of the Army,USAspending
DIA,Defense Intelligence Agency,DoD,HHSD200201138203C,PFIZER INC.,1040375443.5,VACCINE FOR CHILDREN 2011,2011-04-01,2012-03-31,Department of Health and Human Services,Centers for Disease Control and Prevention,USAspending
DIA,Defense Intelligence Agency,DoD,75A50119C00071,EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,804857151.46,"ACAM2000, SMALLPOX (VACCINIA) VACCINE, LIVE (ACAM)",2019-08-30,2029-08-29,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,USAspending
DIA,Defense Intelligence Agency,DoD,HHSD200200720307C,GLAXOSMITHKLINE HOLDINGS (AMERICAS) INC.,458629037.25,200-2007-20307 - GLAXOSMITHKLINE'S PEDIATRIC VACCINE CONTRACT,2007-04-16,2008-03-31,Department of Health and Human Services,Centers for Disease Control and Prevention,USAspending
DIA,Defense Intelligence Agency,DoD,HHSD200200720304C,SANOFI PASTEUR INC.,435268470.15,VFC 2007,2007-04-16,2008-03-31,Department of Health and Human Services,Centers for Disease Control and Prevention,USAspending
DIA,Defense Intelligence Agency,DoD,36C10G20K0074,DAVITA INC.,325344106.03,VA FSC EXPRESS REPORT FY20 COMBINED TOTALS,2019-10-01,2020-09-30,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,36C10G25K0286,FRESENIUS MEDICAL CARE HOLDINGS INC,217668253.11,EXPRESS REPORT: FY 25 1ST QUARTER NDSC - FRESENIUS,2024-10-01,2024-12-31,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,36C10G25K0288,DAVITA INC.,205913750.03,EXPRESS REPORT: FY 25 1ST QUARTER NDSC - DAVITA,2024-10-01,2024-12-31,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,SPE2DS23F0035,"ACCESS BIO, INC.",205200000.0,8509606737!CARESTART COVID-19 ANTIGEN H,2022-12-22,2023-05-11,Department of Defense,Defense Logistics Agency,USAspending
DIA,Defense Intelligence Agency,DoD,SPE2DS23F0036,IHEALTH LABS INC.,190800000.0,8509606738!IHEALTH COVID-19 ANTIGEN RAPI,2022-12-22,2023-05-11,Department of Defense,Defense Logistics Agency,USAspending
DIA,Defense Intelligence Agency,DoD,SPRRA225F0208,RAYTHEON COMPANY,171163890.42,UCA,2025-09-26,2030-05-31,Department of Defense,Defense Logistics Agency,USAspending
DIA,Defense Intelligence Agency,DoD,HHSO10033001T,AMGEN USA INC,157298364.53,IGF::OT::IGF TASK ORDER 1 UNDER RFP-12-100-SOL-00016,2013-09-25,2018-09-18,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,USAspending
DIA,Defense Intelligence Agency,DoD,36C79119K0272,FRESENIUS MEDICAL CARE HOLDINGS INC,148731699.87,EXPRESS REPORT: NATIONWIDE DIALYSIS - APR-SEPT FY19 TOTALS,2019-04-01,2019-09-30,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,VA79115E0200,DAVITA INC.,146840618.95,IGF::OT::IGF EXPRESS REPORT FOR FY14 NATIONWIDE DIALYSIS SERVICES,2013-10-01,2014-09-30,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,75A50124F61005,ADVANCED TECHNOLOGY INTERNATIONAL,141320194.0,OTHER TRANSACTION: PROCUREMENT AND SUSTAINMENT OF N95 MASK MANUFACTURING CAPACITY UNDER THE BIOMAP-CONSORTIUM.,2024-01-12,2030-04-11,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,USAspending
DIA,Defense Intelligence Agency,DoD,SPE2DS22F0039,ABBOTT RAPID DX NORTH AMERICA LLC,137700000.0,8508669471!BINAX NOW COVID-19 AG CARD,2021-11-07,2022-06-24,Department of Defense,Defense Logistics Agency,USAspending
DIA,Defense Intelligence Agency,DoD,NAS901055,"J. DIAMOND GROUP, INC., THE",130483380.11,SECURITY SUPPORT SERVICES.,2002-01-28,2012-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending
DIA,Defense Intelligence Agency,DoD,HHSO1000001,SANOFI PASTEUR INC.,130226133.48,INFLUENZA VACCINE FOR SNS,2006-11-15,2008-12-31,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,USAspending
DIA,Defense Intelligence Agency,DoD,47QFRA24F0012,"ECS FEDERAL, LLC",124827871.51,CONTINUOUS DIAGNOSTICS AND MITIGATION CDM DATA SERVICES,2024-09-18,2026-09-17,General Services Administration,Federal Acquisition Service,USAspending
DIA,Defense Intelligence Agency,DoD,HHSO100200600019C,EMERGENT BIODEFENSE OPERATIONS LANSING LLC,120000000.0,AVA,2006-05-04,2007-09-30,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,USAspending
DIA,Defense Intelligence Agency,DoD,HHSD200201458153C,"NOVARTIS VACCINES AND DIAGNOSTICS, INC.",88724093.4,VACCINE FOR CHILDREN (VFC) 2014,2014-04-01,2015-03-31,Department of Health and Human Services,Centers for Disease Control and Prevention,USAspending
DIA,Defense Intelligence Agency,DoD,HHSO100201100011C,VAXINNATE CORPORATION,86180678.85,BIOMEDICAL (ADVANCED),2011-02-24,2016-12-21,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,USAspending
DIA,Defense Intelligence Agency,DoD,36C79118K0056,FRESENIUS MEDICAL CARE HOLDINGS INC,80500271.18,IGF::CT::IGF  3RD-4TH QTR EXPRESS REPORT:,2017-04-01,2017-09-30,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,SPE2D120F0431,"BECTON, DICKINSON AND COMPANY",76219560.0,"8507590920!TEST KIT,CORONAVIRU",2020-08-14,2020-09-17,Department of Defense,Defense Logistics Agency,USAspending
DIA,Defense Intelligence Agency,DoD,SPE2DE21F0119,ABBOTT RAPID DX NORTH AMERICA LLC,74070806.8,8507857496!BINAXNOW COVID-19 AG CARD 40C,2020-12-11,2020-12-21,Department of Defense,Defense Logistics Agency,USAspending
DIA,Defense Intelligence Agency,DoD,36C10G25K0385,DAVITA INC.,73163510.28,EXPRESS REPORT: FY 25 2ND QUARTER NDSC EXPRESS REPORT - DAVITA,2025-01-01,2025-03-31,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,36C79119K0110,DAVITA INC.,68294371.08,EXPRESS REPORT: 10-1-18 TO 12-31-18 - FY19 - Q1,2018-10-01,2018-12-31,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,36C79118K0093,FRESENIUS MEDICAL CARE HOLDINGS INC,66152369.25,EXPRESS REPORT: 4/1/18 TO 6/30/18 - FY18 Q3,2018-04-01,2018-06-30,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,36C79119K0216,FRESENIUS MEDICAL CARE HOLDINGS INC,63907476.98,EXPRESS REPORT: 1/1/19 TO 3/31/19   FY19   Q2,2019-01-01,2019-04-01,Department of Veterans Affairs,Department of Veterans Affairs,USAspending
DIA,Defense Intelligence Agency,DoD,47QFCA18F0108,BOOZ ALLEN HAMILTON INC,183795973.05,THIS TO WILL ADDRESS DEFENSE INTELLIGENCE AGENCY'S ALL SOURCE INTELLIGENCE AND SUPPORT PERSONNEL REQUIREMENTS FOR SEVERAL BRANCH REGIONS.,2018-08-07,2023-02-15,General Services Administration,Federal Acquisition Service,USAspending
DIA,Defense Intelligence Agency,DoD,0019,"CACI TECHNOLOGIES, LLC",71377434.73,KNOWLEDGE MANAGEMENT AND VISUALIZATION SERVICES IN SUPPORT OF THE DIRECTORATE FOR ANALYSIS DEFENSE INTELLIGENCE AGENCY,2007-04-30,2011-09-30,Department of Defense,Department of the Army,USAspending
DIA,Defense Intelligence Agency,DoD,0507,BOOZ ALLEN HAMILTON INC,17355388.8,"IGF::CL::IGF DEFENSE INTELLIGENCE AGENCY (DIA) COLLECTIONS, SV TAT 13-0650",2013-08-06,2015-07-08,Department of Defense,Defense Contract Management Agency,USAspending
DIA,Defense Intelligence Agency,DoD,W912DR22F0107,"HDR ENGINEERING, INC.",14158162.26,"CHARRETTE & 35% CONCEPT ARCHITECT-ENGINEER SERVICES FOR THE DESIGN-BID-BUILD (DBB) ACQUISITION OF DEFENSE INTELLIGENCE AGENCY (DIA) HEADQUARTERS ANNEX(FORT BELVOIR, VIRGINIA),",2022-04-29,2027-05-03,Department of Defense,Department of the Army,USAspending
DIA,Defense Intelligence Agency,DoD,GST0112BK0005,"LEIDOS INTEGRATED TECHNOLOGY, LLC",13362787.0,PROFESSIONAL SERVICES FOR THE DEFENSE INTELLIGENCE AGENCY. COUNTERINTELLIGENCE ANALYTICAL SUPPORT TO IDENTIFY AND DEGRADE FOREIGN INTELLIGENCE AND TERRORIST THREATS.,2012-04-01,2013-06-10,General Services Administration,Federal Acquisition Service,USAspending
DIA,Defense Intelligence Agency,DoD,GS09Q09CZ0013,"SES GOVERNMENT SOLUTIONS, INC.",5819190.23,"SATELLITE SERVICES DIVN-II TO PROVIDE SATELLITE SERVICES (BANDWIDTH, HOST NATION APPROVALS (HNA), LICENSING AND TELEPORT FACILITY) BETWEEN GERMANY AND GLOBAL REGIONS AS DESIGNATED BY THE DEFENSE INTELLIGENCE AGENCY (DIA) DIVN PROGRAM OFFICE.",2009-09-23,2010-09-29,General Services Administration,Federal Acquisition Service,USAspending
DIA,Defense Intelligence Agency,DoD,W912DY22C0063,RELIANCE CONSTRUCTION MANAGEMENT COMPANY,5644484.0,"DESIGN AND RENOVATE THE EXISTING FIRST FLOOR OF BLDG. 4546 IN ACCORDANCE W ITH INTELLIGENCE COMMUNITY DIRECTIVE AND INTELLIGENCE COMMUNITY STANDARDS (ICS 705-1) F OR THE SUPPORTING THE DEFENSE INTELLIGENCE AGENCY MSIC REDSTONE ARSENAL, ALABAMA.",2022-09-30,2025-01-31,Department of Defense,Department of the Army,USAspending
