Job Number,Job Title,Job Location,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Match Score
3018220,Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),"Fort George G Meade, MD",Peraton ARCYBER Information Advantage Enterprise; Intelligence Systems Enterprise Operations; ARCYBER Information Advantage / Mission Support (general),Peraton; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter",12
3018245,Software Developer,"North Charleston, SC",DIA Information Systems Engineering Office; SOCOM Digital Applications Data Science Support; Advanced Battle Management System,Multi (SAIC supports parts); Iron Eagle X (now GDIT); Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
3018477,Tier 1 Network Monitor,"Hampton, VA",Distributed Common Ground System (AF); Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System,"BAE; multiple; Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; ROCKVILLE, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter",12
3018277,Software Developer,"North Charleston, SC",GRASP (Raytheon/Peraton); DIA Information Systems Engineering Office; Battlefield Information Collection & Exploitation System,Peraton; GDIT; Leidos,"FREDERICK, MARYLAND; HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
3018535,Structural Mechanical/Professional Engineer,"Orlando, FL",GPS Next-Gen Operational Control System; Kennedy Space Center BOSS; NAVAIR Flight Operations Support,Raytheon Intelligence & Space; Jacobs / Amentum (past); Vertex Aerospace,"AURORA, COLORADO; ORLANDO, FLORIDA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
3018571,Senior Cyber Security Specialist,"Fort Belvoir, VA",Army IT Enterprise Mgmt Systems Solution; Army Backbone Infrastructure Modernization – Task Order 2; Army Backbone Infrastructure Modernization – Task Order 3,CACI,"ARLINGTON, VIRGINIA; CHANTILLY, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",9
3017439,Engineering Manager,"San Diego, CA",Intelligence Systems Infrastructure Tools & Enhancements; MSS Smart Systems (Palantir contract); DIA Information Systems Engineering Office,Palantir; Leidos; Northrop Grumman,"PALO ALTO, CALIFORNIA; FREDERICK, MARYLAND; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
3017935,(VMS) Guidance Navigation &amp; Control Engineer,"Chandler, AZ","MDA Tactical Embedded Systems; Army Integrated Battle Command System; Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",Northrop Grumman,"CHANDLER, ARIZONA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
2091698,Software Packager/Technician - Security Tools,"Hazelwood, MO",Army Integrated Battle Command System; Army Integrated Battle Command System Support; Distributed Common Ground System (AF),Northrop Grumman (prime); CACI (support); BAE; multiple; Northrop Grumman,"ROCKVILLE, MARYLAND; CHANDLER, ARIZONA; CHANTILLY, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
3009673,Install Specialist / IT Certified Professional,"Charlottesville, VA",Project Convergence (JADC2 Experiments); Integrated Base Defense Security System; Mission Partner Environment (Field Ops / MPCO),GDIT; SAIC; Leidos,"RESTON, VIRGINIA; SPRINGFIELD, VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",12
3012636,Data Entry Specialist,"Tucson, AZ",Ground-Based Midcourse Defense; MDA Tactical Embedded Systems; Next Generation Interceptor,Northrop Grumman & Boeing; Boeing (prime); Northrop & Raytheon (NGI); Northrop Grumman,"CHANDLER, ARIZONA","Hiring Manager, Program Manager, Team Lead, Recruiter",5
3012964,Software Developer,"Bossier City, LA",Army IT Enterprise Mgmt Systems Solution; Defense Enterprise Office Solutions; Intelligence Systems Enterprise Operations,CSRA / Leidos (team); Leidos; CACI,"FREDERICK, MARYLAND; ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",4
3013298,Oracle DBA,"Washington, VA",NASA SENSE (Space Comms & Tracking); NASA Space Network Evolution; Integrated Base Defense Security System,Peraton; Leidos,"HERNDON, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",15
3015012,Microsoft Copilot Studio AI SME,"Milford Mill, MD",PRISM Support Services (Consolidated); OUSD(P&R) PRISM (Consolidated); SSA IT Support Services Contract,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech); 11 primes (CTC, SAIC, Booz Allen, ManTech…); Leidos / Accenture Federal (indicative)","WASHINGTON, DISTRICT OF COLUMBIA; BALTIMORE, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter",14
3016221,SQL Developer/Administrator,"Redstone Arsenal, AL","Command and Control, Battle Management & Communications (MDA); Command and Control, Battle Management, Communications; Advanced Battle Management System",Multi (SAIC supports parts); Lockheed Martin; Northrop Grumman,"CHANDLER, ARIZONA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
3017651,Sr Elastic Engineer (EDR/Defend Focus),"Colorado Springs, CO",BICES Defense Intelligence Agency Variant; Advanced Battle Management System; Army Enterprise Service Management Framework,CACI + Leidos + Peraton + SAIC (various subs); SAIC; Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",14
2049305,Software Engineer - ENG05 - Cleared On-Site,"Aurora, CO",GPS Next-Gen Operational Control System; GPS Operational Control System (sustainment); Advanced Battle Management System,Raytheon Intelligence & Space; Multi (SAIC supports parts); Raytheon,"AURORA, COLORADO; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
2089337,Data Center Engineer - RTP (TS/SCI with Full Scope Poly),"Research Triangle Park, NC",Data Center & Cloud Optimization; Global Network Operations (DISA GSM-O II); Global Network Operations II (PTS Subcontract),Peraton / Leidos (indicative); Leidos,"HOUSTON, TEXAS; MC LEAN, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
2091444,Technicians &amp; Engineers,"Vandenberg Space Force Base, CA","GPS Operational Control System (sustainment); Next-Generation Overhead Persistent Infrared; EDIS – Engineering, Development, Integration & Sustainment",SAIC; Raytheon; Northrop Grumman,"AURORA, COLORADO; REDONDO BEACH, CALIFORNIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
2091995,VDI Systems Administrator,"Savannah, GA",Advanced Battle Management System; Air Force Advanced Battle Management System; Integrated Base Defense Security System,"Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HERNDON, VIRGINIA; RESTON, VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",6
3009212,Systems Administrator,"Fort Belvoir, VA",Integrated Base Defense Security System; 16th Air Force Mission IT Support; Air Force Advanced Battle Management System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; ManTech; Leidos","QUANTICO, VIRGINIA; HERNDON, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
3010398,(VMS) NDT Test Examiner 2,"Emerado, ND",CDAO Advanced AI Tools (Scale AI OTA); DoD High Performance Computing Modernization Program – HITS / HITS-U Support; HHS Advanced Secure Data Repository,Scale AI; SAIC; GDIT / SAIC (indicative),"PALO ALTO, CALIFORNIA; SPRINGFIELD, VIRGINIA; SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter",4
3010415,(VMS) Engineering Writer and Instructor,"Elkridge, MD",DIA Information Systems Engineering Office; ARCYBER Information Advantage / Mission Support (general); Intelligence Systems Enterprise Operations,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
3010789,Client Support / Sys Admin - Site D,"Fayetteville, NC",Defense Enterprise Office Solutions; Advanced Battle Management System; Air Force Advanced Battle Management System,"Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; CSRA / Leidos (team)","FREDERICK, MARYLAND; HERNDON, VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",6
3012188,IT Specialist Senior,"Quantico, VA",Air Force Advanced Battle Management System; DLA J6 Enterprise Technology Services; 16th Air Force Mission IT Support,"Multiple: SAIC, Leidos, Booz Allen Hamilton; CACI; Deloitte; SAIC; GDIT; ManTech","STERLING, VIRGINIA; QUANTICO, VIRGINIA; HERNDON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",9
3012589,Secure Enterprise Engineer,"Carlsbad, CA","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army Enterprise Service Management Framework; DIA Information Systems Engineering Office",SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
3012633,JAVA/REACT Developer,"Andover, MA",Integrated Air & Missile Defense; Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment; Mark 48 Heavyweight Torpedo,Raytheon (indicative); Raytheon,"ANDOVER, MASSACHUSETTS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
3012821,Cloud Engineer,"Fayetteville, NC","CMS Enterprise Cloud Infrastructure Services; EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support",SAIC (via Engility); SAIC; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
3012876,Sr ISSE,"Reston, VA",Integrated Base Defense Security System; DTRA Integrated IT Support Services; DTRA Integrated IT Support Services,Leidos,"RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",14
3013245,Deployed Support Specialist Mid- Pensacola,"Pensacola, FL","SITEC III – Enterprise Operations & Maintenance; Integrated Base Defense Security System; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Peraton; Leidos,"TAMPA, FLORIDA; MORGANTOWN, WEST VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
3013828,Sr Network Engineer,"Reston, VA",Integrated Base Defense Security System; DTRA Integrated IT Support Services; DTRA Integrated IT Support Services,Leidos,"RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
3013253,IT System Engineer,"Fort Worth, TX",Navy Aegis Combat System Modernization; Aegis Ballistic Missile Defense / Aegis Program; Common Open Operational Launch Range,Lockheed Martin; Lockheed Martin (indicative),"FORT WORTH, TEXAS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
483185,PRICING ANALYST - SECRET CLEARANCE,"Colorado Springs, Colorado",Advanced Battle Management System; Army Enterprise Service Management Framework; BICES Defense Intelligence Agency Variant,Multi (SAIC supports parts); SAIC; CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO","Analytics Manager, Program Manager, Team Lead, Hiring Manager",14
463944,DEVSECOPS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama","Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
478353,MECHANICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama","Ground-Based Midcourse Defense; DIA Information Systems Engineering Office; EDIS – Engineering, Development, Integration & Sustainment",Boeing (prime); Northrop & Raytheon (NGI); SAIC; Leidos,"FREDERICK, MARYLAND; CHANDLER, ARIZONA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
461214,ELECTRICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Aegis Ballistic Missile Defense / Aegis Program; DIA Information Systems Engineering Office; Global Command and Control System – Joint,Northrop Grumman; Lockheed Martin; Leidos,"FORT WORTH, TEXAS; FREDERICK, MARYLAND; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
479177,SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED,"Niskayuna, New York","DIA Information Systems Engineering Office; EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
460819,SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Aegis Ballistic Missile Defense / Aegis Program; DIA Information Systems Engineering Office; Army Enterprise Service Management Framework,Lockheed Martin; SAIC; Leidos,"FORT WORTH, TEXAS; FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
482039,FPGA DESIGN ENGINEER - SECRET CLEARANCE,"Plymouth, Minnesota","EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; DIA Information Systems Engineering Office",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
447166,SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE),"Tucson, Arizona",GMD Weapon System (Ground C2); GMD Weapon System Modernization; Advanced Battle Management System,Multi (SAIC supports parts); Northrop Grumman,"CHANDLER, ARIZONA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
239418,HELP DESK SUPPORT SPEC I,"Detroit, Michigan",Battlefield Information Collection & Exploitation System; Global Command and Control System – Joint; Global Command and Control System – Joint (Variant),Leidos; GDIT; Northrop Grumman,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; ROY, UTAH","Hiring Manager, Program Manager, Team Lead, Recruiter",4
443211,SECRET/INTERIM CLEARED OUTSIDE MACHINIST,"Chesapeake, Virginia",Battlefield Information Collection & Exploitation System; DIA Battlefield Information Networks / BICES-X; DoD Joint Service Provider – Pentagon IT & ICAM,CACI (incumbent); GDIT; CACI,"ARLINGTON, VIRGINIA; SPRINGFIELD, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",5
432633,CLEARED MARINE ELECTRICIAN,"Norfolk, Virginia",Army IT Enterprise Mgmt Systems Solution; Battlefield Information Collection & Exploitation System; DIA Battlefield Information Networks / BICES-X,GDIT; CACI,"SPRINGFIELD, VIRGINIA; ARLINGTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",5
449881,SECRET VULNERABILITY PENETRATION TESTER,"Aberdeen Proving Ground, Maryland",DISA JWCC – Joint Warfighting Cloud Capability; Joint Warfighting Cloud Capability; JWCC – ATAT Expansion Path,AWS; Microsoft; Google; Oracle; Amazon; Microsoft; Google; Oracle,"ABERDEEN PROVING GROUND, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter",8
468846,MODEL BASED DEFINITION ENGINEER,"Middletown, Connecticut",Army Enterprise Service Management Framework; Global Service Management – Operations II; Advanced Battle Management System,Multi (SAIC supports parts); SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
482286,SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4,"Aurora, Colorado","GPS Next-Gen Operational Control System; GPS Operational Control System (sustainment); EDIS – Engineering, Development, Integration & Sustainment",Raytheon Intelligence & Space; SAIC; Raytheon,"AURORA, COLORADO; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
450628,SYSTEMS ADMINISTRATOR,"San Diego, California",GBS (Global Broadcast Service); Global Broadcast Service; MSS Smart Systems (Palantir contract),L3Harris; L3Harris (historical); Palantir,"PALO ALTO, CALIFORNIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
480992,TOP SECRET SYSTEM ADMIN,"Niskayuna, New York",Battlefield Information Collection & Exploitation System; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); GDIT; Leidos,"ANAHEIM, CALIFORNIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
474313,SECRET DEPLOYED SUPPORT SPECIALIST,"Norfolk, Virginia",Battlefield Information Collection & Exploitation System; SOCOM Software Solutions IDIQ; Global Network Operations (DISA GSM-O II),GDIT; Iron Eagle X (now GDIT); Leidos,"HOUSTON, TEXAS; SPRINGFIELD, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
480738,FIELD ENGINEER (CENTRAL US),"Salt Lake City, Utah",GRASP (Raytheon/Peraton); GENMOD / VMOD 2 – Field Service Technicians; Global Command and Control System – Joint,Northrop Grumman; Peraton; CACI,"HERNDON, VIRGINIA; ROY, UTAH; CHANTILLY, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
451448,ESS HELPDESK TECHNICIAN,"Braddock, Virginia",Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System; Integrated Base Defense Security System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Leidos","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
482086,SECRET FULL STACK DEVELOPER,"Dahlgren, Virginia",CMS Enterprise Cloud Infrastructure Services; Data Center & Cloud Optimization; SOCOM Digital Applications Data Science Support,Peraton / Leidos (indicative); Iron Eagle X (now GDIT); Peraton / SAIC (indicative),"MC LEAN, VIRGINIA; HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
438003,INFORMATION SYSTEMS SECURITY OFFICER (ISSO),"Sterling Heights, Michigan",DIA Information Systems Engineering Office; Global Service Management – Operations II; Integrated Base Defense Security System,Leidos,"FREDERICK, MARYLAND; RESTON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
483609,BUYER'S TECHNICAL WRITER - SECRET,"Colorado Springs, Colorado",Army Enterprise Service Management Framework; BICES Defense Intelligence Agency Variant; Protected Satcom & Tactical Waveform Communications,L3Harris; CACI + Leidos + Peraton + SAIC (various subs); SAIC,"COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",12
483170,SECRET SENIOR ELASTIC ENGINEER,"Colorado Springs, Colorado",Advanced Battle Management System; Army Enterprise Service Management Framework; ARNG G-2 Intelligence IT Support,Multi (SAIC supports parts); SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
458210,TS/SCI SR. NETWORK ENGINEER,"Mount Vernon, Virginia","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Battlefield Information Collection & Exploitation System; CMS Enterprise Cloud Infrastructure Services",Peraton / SAIC (indicative); GDIT; Leidos,"HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
480691,SECRET MICROSOFT SYSTEMS ENGINEER,"Goose Creek, South Carolina",CDAO Advanced AI Tools (Scale AI OTA); GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; Scale AI; L3Harris (historical),"PALO ALTO, CALIFORNIA; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
479729,SECRET NETWORK ADMINISTRATOR II (DAYS),"Montgomery, Alabama","Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",10
239366,SALES ENGINEER,"Colorado Springs, Colorado",Advanced Battle Management System; Army “Project Convergence”; Army Futures Command – Project Convergence,Multi (SAIC supports parts); SAIC; SAIC (major integrator; autonomy & AI work),"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
480429,SECRET WINDOWS SYSTEMS ADMINISTRATOR,"Dahlgren, Virginia",Air Force Advanced Battle Management System; Integrated Base Defense Security System; DIA Information Systems Engineering Office,"Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","FREDERICK, MARYLAND; HERNDON, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",9
480693,SECRET DEVOPS ENGINEER,"Goose Creek, South Carolina",Army Enterprise Service Management Framework; CMS Enterprise Cloud Infrastructure Services; Global Service Management – Operations II,Leidos; SAIC; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
476947,TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER,"Wilmington, Massachusetts",DIA Information Systems Engineering Office; Integrated Air & Missile Defense; Mark-48 Torpedo (sub-program reference),Raytheon (indicative); Raytheon; Leidos,"FREDERICK, MARYLAND; ANDOVER, MASSACHUSETTS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
478024,SR PROJECT ENGINEER,"Tampa, Florida",SITEC III – Enterprise Operations & Maintenance; DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II,Peraton; Leidos,"TAMPA, FLORIDA; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
480900,TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,"Dahlgren, Virginia","CMS Enterprise Cloud Infrastructure Services; Integrated Base Defense Security System; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Leidos; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
