Job Source,Job Number,Job Title,Job Location,Security Clearance,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Search Keywords (ZoomInfo),LinkedIn Search,Match Score,Match Reasons
Apex Systems,3018220,Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),"Fort George G Meade, MD",,Peraton ARCYBER Information Advantage Enterprise; Intelligence Systems Enterprise Operations; ARCYBER Information Advantage / Mission Support (general),Peraton; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter","Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am), None, federal contractor","""Hiring Manager"" AND (Peraton OR Leidos) AND (Fort George G Meade)",12,"Keywords: information, enterprise; State: MD; City: FORT GEORGE G MEADE"
Apex Systems,3018245,Software Developer,"North Charleston, SC",,DIA Information Systems Engineering Office; SOCOM Digital Applications Data Science Support; Advanced Battle Management System,Multi (SAIC supports parts); Iron Eagle X (now GDIT); Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Software Developer, None, federal contractor","""Engineering Manager"" AND (Iron Eagle X (now GDIT) OR Leidos) AND (North Charleston)",6,"Keywords: engineering, information, systems"
Apex Systems,3018477,Tier 1 Network Monitor,"Hampton, VA",,Distributed Common Ground System (AF); Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System,"BAE; multiple; Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; ROCKVILLE, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter","Tier 1 Network Monitor, None, federal contractor","""Hiring Manager"" AND (BAE; multiple OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Hampton)",12,Acronym: DCGS; Keywords: system
Apex Systems,3018277,Software Developer,"North Charleston, SC",,GRASP (Raytheon/Peraton); DIA Information Systems Engineering Office; Battlefield Information Collection & Exploitation System,Peraton; GDIT; Leidos,"FREDERICK, MARYLAND; HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Software Developer, None, federal contractor","""Engineering Manager"" AND (Peraton OR Leidos) AND (North Charleston)",12,Acronym: GRASP; Keywords: grasp
Apex Systems,3018535,Structural Mechanical/Professional Engineer,"Orlando, FL",ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL,GPS Next-Gen Operational Control System; Kennedy Space Center BOSS; NAVAIR Flight Operations Support,Raytheon Intelligence & Space; Jacobs / Amentum (past); Vertex Aerospace,"AURORA, COLORADO; ORLANDO, FLORIDA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Structural Mechanical/Professional Engineer, ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL, federal contractor","""Engineering Manager"" AND (Raytheon Intelligence & Space OR Jacobs / Amentum (past)) AND (Orlando)",8,"Keywords: next, control, system"
Apex Systems,3018571,Senior Cyber Security Specialist,"Fort Belvoir, VA",,Army IT Enterprise Mgmt Systems Solution; Army Backbone Infrastructure Modernization – Task Order 2; Army Backbone Infrastructure Modernization – Task Order 3,CACI,"ARLINGTON, VIRGINIA; CHANTILLY, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Senior Cyber Security Specialist, None, federal contractor","""Hiring Manager"" AND (CACI) AND (Fort Belvoir)",9,"Keywords: army, enterprise, systems; State: VA"
Apex Systems,3017439,Engineering Manager,"San Diego, CA",,Intelligence Systems Infrastructure Tools & Enhancements; MSS Smart Systems (Palantir contract); DIA Information Systems Engineering Office,Palantir; Leidos; Northrop Grumman,"PALO ALTO, CALIFORNIA; FREDERICK, MARYLAND; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Engineering Manager, None, federal contractor","""Engineering Manager"" AND (Palantir OR Northrop Grumman) AND (San Diego)",8,"Keywords: infrastructure, tools, intelligence"
Apex Systems,3017935,(VMS) Guidance Navigation &amp; Control Engineer,"Chandler, AZ",Top Secret clearance required,"MDA Tactical Embedded Systems; Army Integrated Battle Command System; Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",Northrop Grumman,"CHANDLER, ARIZONA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","(VMS) Guidance Navigation &amp; Control Engineer, Top Secret clearance required, federal contractor","""Engineering Manager"" AND (Northrop Grumman) AND (Chandler)",12,"Keywords: tactical, systems; State: AZ; City: CHANDLER"
Apex Systems,2091698,Software Packager/Technician - Security Tools,"Hazelwood, MO",Must be eligible for a Secret Clearance or willing to be processed for one,Army Integrated Battle Command System; Army Integrated Battle Command System Support; Distributed Common Ground System (AF),Northrop Grumman (prime); CACI (support); BAE; multiple; Northrop Grumman,"ROCKVILLE, MARYLAND; CHANDLER, ARIZONA; CHANTILLY, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Software Packager/Technician - Security Tools, Must be eligible for a Secret Clearance or willing to be processed for one, federal contractor","""Hiring Manager"" AND (Northrop Grumman (prime); CACI (support) OR Northrop Grumman) AND (Hazelwood)",4,"Keywords: system, command"
Apex Systems,3009673,Install Specialist / IT Certified Professional,"Charlottesville, VA",TS/SCI Clearance level,Project Convergence (JADC2 Experiments); Integrated Base Defense Security System; Mission Partner Environment (Field Ops / MPCO),GDIT; SAIC; Leidos,"RESTON, VIRGINIA; SPRINGFIELD, VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","Install Specialist / IT Certified Professional, TS/SCI Clearance level, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Charlottesville)",12,Acronym: PC; Keywords: project
Apex Systems,3012636,Data Entry Specialist,"Tucson, AZ",,Ground-Based Midcourse Defense; MDA Tactical Embedded Systems; Next Generation Interceptor,Northrop Grumman & Boeing; Boeing (prime); Northrop & Raytheon (NGI); Northrop Grumman,"CHANDLER, ARIZONA","Hiring Manager, Program Manager, Team Lead, Recruiter","Data Entry Specialist, None, federal contractor","""Hiring Manager"" AND (Boeing (prime); Northrop & Raytheon (NGI) OR Northrop Grumman) AND (Tucson)",5,Keywords: defense; State: AZ
Apex Systems,3012964,Software Developer,"Bossier City, LA","secret clearance OR previously held secret clearance preferred, must have ability to obtain",Army IT Enterprise Mgmt Systems Solution; Defense Enterprise Office Solutions; Intelligence Systems Enterprise Operations,CSRA / Leidos (team); Leidos; CACI,"FREDERICK, MARYLAND; ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Software Developer, secret clearance OR previously held secret clearance preferred, must have ability to obtain, federal contractor","""Engineering Manager"" AND (CSRA / Leidos (team) OR CACI) AND (Bossier City)",4,"Keywords: enterprise, systems"
Apex Systems,3013298,Oracle DBA,"Washington, VA",,NASA SENSE (Space Comms & Tracking); NASA Space Network Evolution; Integrated Base Defense Security System,Peraton; Leidos,"HERNDON, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Oracle DBA, None, federal contractor","""Hiring Manager"" AND (Peraton) AND (Washington)",15,Acronym: SENSE; Keywords: sense; State: VA
Apex Systems,3015012,Microsoft Copilot Studio AI SME,"Milford Mill, MD",,PRISM Support Services (Consolidated); OUSD(P&R) PRISM (Consolidated); SSA IT Support Services Contract,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech); 11 primes (CTC, SAIC, Booz Allen, ManTech…); Leidos / Accenture Federal (indicative)","WASHINGTON, DISTRICT OF COLUMBIA; BALTIMORE, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter","Microsoft Copilot Studio AI SME, None, federal contractor","""Hiring Manager"" AND (11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech) OR 11 primes (CTC, SAIC, Booz Allen, ManTech…)) AND (Milford Mill)",14,"Acronym: PRISM; Keywords: prism, services"
Apex Systems,3016221,SQL Developer/Administrator,"Redstone Arsenal, AL",• Secret security clearance,"Command and Control, Battle Management & Communications (MDA); Command and Control, Battle Management, Communications; Advanced Battle Management System",Multi (SAIC supports parts); Lockheed Martin; Northrop Grumman,"CHANDLER, ARIZONA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SQL Developer/Administrator, • Secret security clearance, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Northrop Grumman) AND (Redstone Arsenal)",6,"Keywords: control, communications, management"
Apex Systems,3017651,Sr Elastic Engineer (EDR/Defend Focus),"Colorado Springs, CO",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS,BICES Defense Intelligence Agency Variant; Advanced Battle Management System; Army Enterprise Service Management Framework,CACI + Leidos + Peraton + SAIC (various subs); SAIC; Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Sr Elastic Engineer (EDR/Defend Focus), ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS, federal contractor","""Engineering Manager"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR Multi (SAIC supports parts)) AND (Colorado Springs)",14,"Keywords: intelligence, defense, agency; State: CO; City: COLORADO SPRINGS"
Apex Systems,2049305,Software Engineer - ENG05 - Cleared On-Site,"Aurora, CO",,GPS Next-Gen Operational Control System; GPS Operational Control System (sustainment); Advanced Battle Management System,Raytheon Intelligence & Space; Multi (SAIC supports parts); Raytheon,"AURORA, COLORADO; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Software Engineer - ENG05 - Cleared On-Site, None, federal contractor","""Engineering Manager"" AND (Raytheon Intelligence & Space OR Raytheon) AND (Aurora)",10,Keywords: system; State: CO; City: AURORA
Apex Systems,2089337,Data Center Engineer - RTP (TS/SCI with Full Scope Poly),"Research Triangle Park, NC",TS/SCI with Full Scope Poly (FSP),Data Center & Cloud Optimization; Global Network Operations (DISA GSM-O II); Global Network Operations II (PTS Subcontract),Peraton / Leidos (indicative); Leidos,"HOUSTON, TEXAS; MC LEAN, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Data Center Engineer - RTP (TS/SCI with Full Scope Poly), TS/SCI with Full Scope Poly (FSP), federal contractor","""Engineering Manager"" AND (Peraton / Leidos (indicative) OR Leidos) AND (Research Triangle Park)",6,"Keywords: center, data, cloud"
Apex Systems,2091444,Technicians &amp; Engineers,"Vandenberg Space Force Base, CA",ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL,"GPS Operational Control System (sustainment); Next-Generation Overhead Persistent Infrared; EDIS – Engineering, Development, Integration & Sustainment",SAIC; Raytheon; Northrop Grumman,"AURORA, COLORADO; REDONDO BEACH, CALIFORNIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Technicians &amp; Engineers, ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL, federal contractor","""Engineering Manager"" AND (Raytheon OR Northrop Grumman) AND (Vandenberg Space Force Base)",8,"Keywords: system, control, sustainment"
Apex Systems,2091995,VDI Systems Administrator,"Savannah, GA",TS/SCI,Advanced Battle Management System; Air Force Advanced Battle Management System; Integrated Base Defense Security System,"Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HERNDON, VIRGINIA; RESTON, VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","VDI Systems Administrator, TS/SCI, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Savannah)",6,"Keywords: system, advanced, management"
Apex Systems,3009212,Systems Administrator,"Fort Belvoir, VA",TS/SCI with active POLY,Integrated Base Defense Security System; 16th Air Force Mission IT Support; Air Force Advanced Battle Management System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; ManTech; Leidos","QUANTICO, VIRGINIA; HERNDON, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Systems Administrator, TS/SCI with active POLY, federal contractor","""Hiring Manager"" AND (ManTech OR Leidos) AND (Fort Belvoir)",7,"Keywords: system, security; State: VA"
Apex Systems,3010398,(VMS) NDT Test Examiner 2,"Emerado, ND",Secret Clearance Required,CDAO Advanced AI Tools (Scale AI OTA); DoD High Performance Computing Modernization Program – HITS / HITS-U Support; HHS Advanced Secure Data Repository,Scale AI; SAIC; GDIT / SAIC (indicative),"PALO ALTO, CALIFORNIA; SPRINGFIELD, VIRGINIA; SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter","(VMS) NDT Test Examiner 2, Secret Clearance Required, federal contractor","""Hiring Manager"" AND (Scale AI OR SAIC) AND (Emerado)",4,"Keywords: advanced, tools"
Apex Systems,3010415,(VMS) Engineering Writer and Instructor,"Elkridge, MD",Secret Clearance Required,DIA Information Systems Engineering Office; ARCYBER Information Advantage / Mission Support (general); Intelligence Systems Enterprise Operations,Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","(VMS) Engineering Writer and Instructor, Secret Clearance Required, federal contractor","""Engineering Manager"" AND (Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work) OR Leidos) AND (Elkridge)",9,"Keywords: engineering, information, systems; State: MD"
Apex Systems,3010789,Client Support / Sys Admin - Site D,"Fayetteville, NC","Secret (this position supports sponsorship for an upgraded security clearance, c",Defense Enterprise Office Solutions; Advanced Battle Management System; Air Force Advanced Battle Management System,"Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; CSRA / Leidos (team)","FREDERICK, MARYLAND; HERNDON, VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","Client Support / Sys Admin - Site D, Secret (this position supports sponsorship for an upgraded security clearance, c, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR CSRA / Leidos (team)) AND (Fayetteville)",6,"Keywords: office, enterprise, solutions"
Apex Systems,3012188,IT Specialist Senior,"Quantico, VA",,Air Force Advanced Battle Management System; DLA J6 Enterprise Technology Services; 16th Air Force Mission IT Support,"Multiple: SAIC, Leidos, Booz Allen Hamilton; CACI; Deloitte; SAIC; GDIT; ManTech","STERLING, VIRGINIA; QUANTICO, VIRGINIA; HERNDON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","IT Specialist Senior, None, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR CACI; Deloitte; SAIC; GDIT) AND (Quantico)",9,"Keywords: system, advanced, management; State: VA"
Apex Systems,3012589,Secure Enterprise Engineer,"Carlsbad, CA",,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army Enterprise Service Management Framework; DIA Information Systems Engineering Office",SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Secure Enterprise Engineer, None, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Carlsbad)",8,"Keywords: service, network, enterprise"
Apex Systems,3012633,JAVA/REACT Developer,"Andover, MA",,Integrated Air & Missile Defense; Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment; Mark 48 Heavyweight Torpedo,Raytheon (indicative); Raytheon,"ANDOVER, MASSACHUSETTS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","JAVA/REACT Developer, None, federal contractor","""Engineering Manager"" AND (Raytheon) AND (Andover)",10,Keywords: defense; State: MA; City: ANDOVER
Apex Systems,3012821,Cloud Engineer,"Fayetteville, NC",active Secret Clearance eligible for upgrade.,"CMS Enterprise Cloud Infrastructure Services; EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support",SAIC (via Engility); SAIC; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Cloud Engineer, active Secret Clearance eligible for upgrade., federal contractor","""Engineering Manager"" AND (SAIC OR Peraton / SAIC (indicative)) AND (Fayetteville)",6,"Keywords: infrastructure, cloud, services"
Apex Systems,3012876,Sr ISSE,"Reston, VA",,Integrated Base Defense Security System; DTRA Integrated IT Support Services; DTRA Integrated IT Support Services,Leidos,"RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Sr ISSE, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Reston)",14,"Keywords: system, security, integrated; State: VA; City: RESTON"
Apex Systems,3013245,Deployed Support Specialist Mid- Pensacola,"Pensacola, FL",,"SITEC III – Enterprise Operations & Maintenance; Integrated Base Defense Security System; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Peraton; Leidos,"TAMPA, FLORIDA; MORGANTOWN, WEST VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Deployed Support Specialist Mid- Pensacola, None, federal contractor","""Hiring Manager"" AND (Peraton OR Leidos) AND (Pensacola)",7,"Keywords: operations, maintenance; State: FL"
Apex Systems,3013828,Sr Network Engineer,"Reston, VA",,Integrated Base Defense Security System; DTRA Integrated IT Support Services; DTRA Integrated IT Support Services,Leidos,"RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Sr Network Engineer, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Reston)",12,"Keywords: system, security; State: VA; City: RESTON"
Apex Systems,3013253,IT System Engineer,"Fort Worth, TX",,Navy Aegis Combat System Modernization; Aegis Ballistic Missile Defense / Aegis Program; Common Open Operational Launch Range,Lockheed Martin; Lockheed Martin (indicative),"FORT WORTH, TEXAS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","IT System Engineer, None, federal contractor","""Engineering Manager"" AND (Lockheed Martin) AND (Fort Worth)",12,"Keywords: system, modernization; State: TX; City: FORT WORTH"
Insight Global,483185,PRICING ANALYST - SECRET CLEARANCE,"Colorado Springs, Colorado",Secret,Advanced Battle Management System; Army Enterprise Service Management Framework; BICES Defense Intelligence Agency Variant,Multi (SAIC supports parts); SAIC; CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO","Analytics Manager, Program Manager, Team Lead, Hiring Manager","PRICING ANALYST - SECRET CLEARANCE, Secret, federal contractor","""Analytics Manager"" AND (Multi (SAIC supports parts) OR SAIC) AND (Colorado Springs)",14,"Keywords: system, advanced, management; State: CO; City: COLORADO SPRINGS"
Insight Global,463944,DEVSECOPS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,"Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","DEVSECOPS ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND (Huntsville)",6,"Keywords: service, global, management"
Insight Global,478353,MECHANICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,"Ground-Based Midcourse Defense; DIA Information Systems Engineering Office; EDIS – Engineering, Development, Integration & Sustainment",Boeing (prime); Northrop & Raytheon (NGI); SAIC; Leidos,"FREDERICK, MARYLAND; CHANDLER, ARIZONA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","MECHANICAL ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (Boeing (prime); Northrop & Raytheon (NGI) OR Leidos) AND (Huntsville)",12,Acronym: GMD; Keywords: defense
