Job Number,Job Title,Job Location,Prime Contractors,Search Keywords (ZoomInfo),LinkedIn Search,Match Score
3017651,Sr Elastic Engineer (EDR/Defend Focus),"Colorado Springs, CO",CACI + Leidos + Peraton + SAIC (various subs); SAIC; Multi (SAIC supports parts),"Sr Elastic Engineer (EDR/Defend Focus), ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS, federal contractor","""Engineering Manager"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR Multi (SAIC supports parts)) AND (Colorado Springs)",14
2049305,Software Engineer - ENG05 - Cleared On-Site,"Aurora, CO",Raytheon Intelligence & Space; Multi (SAIC supports parts); Raytheon,"Software Engineer - ENG05 - Cleared On-Site, None, federal contractor","""Engineering Manager"" AND (Raytheon Intelligence & Space OR Raytheon) AND (Aurora)",10
2089337,Data Center Engineer - RTP (TS/SCI with Full Scope Poly),"Research Triangle Park, NC",Peraton / Leidos (indicative); Leidos,"Data Center Engineer - RTP (TS/SCI with Full Scope Poly), TS/SCI with Full Scope Poly (FSP), federal contractor","""Engineering Manager"" AND (Peraton / Leidos (indicative) OR Leidos) AND (Research Triangle Park)",6
2091444,Technicians &amp; Engineers,"Vandenberg Space Force Base, CA",SAIC; Raytheon; Northrop Grumman,"Technicians &amp; Engineers, ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL, federal contractor","""Engineering Manager"" AND (Raytheon OR Northrop Grumman) AND (Vandenberg Space Force Base)",8
2091995,VDI Systems Administrator,"Savannah, GA","Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","VDI Systems Administrator, TS/SCI, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Savannah)",6
3009212,Systems Administrator,"Fort Belvoir, VA","Multiple: SAIC, Leidos, Booz Allen Hamilton; ManTech; Leidos","Systems Administrator, TS/SCI with active POLY, federal contractor","""Hiring Manager"" AND (ManTech OR Leidos) AND (Fort Belvoir)",7
3010398,(VMS) NDT Test Examiner 2,"Emerado, ND",Scale AI; SAIC; GDIT / SAIC (indicative),"(VMS) NDT Test Examiner 2, Secret Clearance Required, federal contractor","""Hiring Manager"" AND (Scale AI OR SAIC) AND (Emerado)",4
3010415,(VMS) Engineering Writer and Instructor,"Elkridge, MD",Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"(VMS) Engineering Writer and Instructor, Secret Clearance Required, federal contractor","""Engineering Manager"" AND (Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work) OR Leidos) AND (Elkridge)",9
3010789,Client Support / Sys Admin - Site D,"Fayetteville, NC","Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; CSRA / Leidos (team)","Client Support / Sys Admin - Site D, Secret (this position supports sponsorship for an upgraded security clearance, c, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR CSRA / Leidos (team)) AND (Fayetteville)",6
3012188,IT Specialist Senior,"Quantico, VA","Multiple: SAIC, Leidos, Booz Allen Hamilton; CACI; Deloitte; SAIC; GDIT; ManTech","IT Specialist Senior, None, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR CACI; Deloitte; SAIC; GDIT) AND (Quantico)",9
3012589,Secure Enterprise Engineer,"Carlsbad, CA",SAIC; Leidos,"Secure Enterprise Engineer, None, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Carlsbad)",8
3012633,JAVA/REACT Developer,"Andover, MA",Raytheon (indicative); Raytheon,"JAVA/REACT Developer, None, federal contractor","""Engineering Manager"" AND (Raytheon) AND (Andover)",10
3012821,Cloud Engineer,"Fayetteville, NC",SAIC (via Engility); SAIC; Peraton / SAIC (indicative),"Cloud Engineer, active Secret Clearance eligible for upgrade., federal contractor","""Engineering Manager"" AND (SAIC OR Peraton / SAIC (indicative)) AND (Fayetteville)",6
3012876,Sr ISSE,"Reston, VA",Leidos,"Sr ISSE, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Reston)",14
3013245,Deployed Support Specialist Mid- Pensacola,"Pensacola, FL",Peraton; Leidos,"Deployed Support Specialist Mid- Pensacola, None, federal contractor","""Hiring Manager"" AND (Peraton OR Leidos) AND (Pensacola)",7
3013828,Sr Network Engineer,"Reston, VA",Leidos,"Sr Network Engineer, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Reston)",12
3013253,IT System Engineer,"Fort Worth, TX",Lockheed Martin; Lockheed Martin (indicative),"IT System Engineer, None, federal contractor","""Engineering Manager"" AND (Lockheed Martin) AND (Fort Worth)",12
483185,PRICING ANALYST - SECRET CLEARANCE,"Colorado Springs, Colorado",Multi (SAIC supports parts); SAIC; CACI + Leidos + Peraton + SAIC (various subs),"PRICING ANALYST - SECRET CLEARANCE, Secret, federal contractor","""Analytics Manager"" AND (Multi (SAIC supports parts) OR SAIC) AND (Colorado Springs)",14
463944,DEVSECOPS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"DEVSECOPS ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND (Huntsville)",6
478353,MECHANICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Boeing (prime); Northrop & Raytheon (NGI); SAIC; Leidos,"MECHANICAL ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (Boeing (prime); Northrop & Raytheon (NGI) OR Leidos) AND (Huntsville)",12
461214,ELECTRICAL ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Northrop Grumman; Lockheed Martin; Leidos,"ELECTRICAL ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Leidos) AND (Huntsville)",6
479177,SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED,"Niskayuna, New York",SAIC (via Engility); SAIC; Leidos,"SR. POWER ELECTRIC ENGINEER - CLEARANCE REQUIRED, None, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Niskayuna)",6
460819,SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Lockheed Martin; SAIC; Leidos,"SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Leidos) AND (Huntsville)",6
482039,FPGA DESIGN ENGINEER - SECRET CLEARANCE,"Plymouth, Minnesota",SAIC (via Engility); SAIC; Leidos,"FPGA DESIGN ENGINEER - SECRET CLEARANCE, Secret, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (Plymouth)",6
447166,SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE),"Tucson, Arizona",Multi (SAIC supports parts); Northrop Grumman,"SENIOR SOFTWARE ENGINEER (SECRET CLEARANCE), Secret, federal contractor","""Engineering Manager"" AND (Northrop Grumman) AND (Tucson)",7
239418,HELP DESK SUPPORT SPEC I,"Detroit, Michigan",Leidos; GDIT; Northrop Grumman,"HELP DESK SUPPORT SPEC I, Secret, federal contractor","""Hiring Manager"" AND (GDIT OR Northrop Grumman) AND (Detroit)",4
443211,SECRET/INTERIM CLEARED OUTSIDE MACHINIST,"Chesapeake, Virginia",CACI (incumbent); GDIT; CACI,"SECRET/INTERIM CLEARED OUTSIDE MACHINIST, Secret, federal contractor","""Hiring Manager"" AND (GDIT OR CACI) AND (Chesapeake)",5
432633,CLEARED MARINE ELECTRICIAN,"Norfolk, Virginia",GDIT; CACI,"CLEARED MARINE ELECTRICIAN, Secret, federal contractor","""Hiring Manager"" AND (GDIT OR CACI) AND (Norfolk)",5
449881,SECRET VULNERABILITY PENETRATION TESTER,"Aberdeen Proving Ground, Maryland",AWS; Microsoft; Google; Oracle; Amazon; Microsoft; Google; Oracle,"SECRET VULNERABILITY PENETRATION TESTER, TS/SCI, federal contractor","""Hiring Manager"" AND (AWS; Microsoft; Google; Oracle OR Amazon; Microsoft; Google; Oracle) AND (Aberdeen Proving Ground)",8
468846,MODEL BASED DEFINITION ENGINEER,"Middletown, Connecticut",Multi (SAIC supports parts); SAIC; Leidos,"MODEL BASED DEFINITION ENGINEER, None, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Middletown)",7
482286,SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4,"Aurora, Colorado",Raytheon Intelligence & Space; SAIC; Raytheon,"SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4, Secret, federal contractor","""Engineering Manager"" AND (Raytheon Intelligence & Space OR Raytheon) AND (Aurora)",8
450628,SYSTEMS ADMINISTRATOR,"San Diego, California",L3Harris; L3Harris (historical); Palantir,"SYSTEMS ADMINISTRATOR, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7
480992,TOP SECRET SYSTEM ADMIN,"Niskayuna, New York",L3Harris (historical); GDIT; Leidos,"TOP SECRET SYSTEM ADMIN, Top Secret, federal contractor","""Hiring Manager"" AND (GDIT OR Leidos) AND (Niskayuna)",4
474313,SECRET DEPLOYED SUPPORT SPECIALIST,"Norfolk, Virginia",GDIT; Iron Eagle X (now GDIT); Leidos,"SECRET DEPLOYED SUPPORT SPECIALIST, Secret, federal contractor","""Hiring Manager"" AND (GDIT OR Iron Eagle X (now GDIT)) AND (Norfolk)",7
480738,FIELD ENGINEER (CENTRAL US),"Salt Lake City, Utah",Northrop Grumman; Peraton; CACI,"FIELD ENGINEER (CENTRAL US), None, federal contractor","""Engineering Manager"" AND (Peraton OR CACI) AND (Salt Lake City)",12
451448,ESS HELPDESK TECHNICIAN,"Braddock, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Leidos","ESS HELPDESK TECHNICIAN, Secret, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR GDIT) AND (Braddock)",7
482086,SECRET FULL STACK DEVELOPER,"Dahlgren, Virginia",Peraton / Leidos (indicative); Iron Eagle X (now GDIT); Peraton / SAIC (indicative),"SECRET FULL STACK DEVELOPER, Secret, federal contractor","""Engineering Manager"" AND (Peraton / Leidos (indicative) OR Peraton / SAIC (indicative)) AND (Dahlgren)",7
438003,INFORMATION SYSTEMS SECURITY OFFICER (ISSO),"Sterling Heights, Michigan",Leidos,"INFORMATION SYSTEMS SECURITY OFFICER (ISSO), Secret, federal contractor","""Hiring Manager"" AND (Leidos) AND (Sterling Heights)",6
483609,BUYER'S TECHNICAL WRITER - SECRET,"Colorado Springs, Colorado",L3Harris; CACI + Leidos + Peraton + SAIC (various subs); SAIC,"BUYER'S TECHNICAL WRITER - SECRET, Secret, federal contractor","""Hiring Manager"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR SAIC) AND (Colorado Springs)",12
483170,SECRET SENIOR ELASTIC ENGINEER,"Colorado Springs, Colorado",Multi (SAIC supports parts); SAIC,"SECRET SENIOR ELASTIC ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (Multi (SAIC supports parts) OR SAIC) AND (Colorado Springs)",12
458210,TS/SCI SR. NETWORK ENGINEER,"Mount Vernon, Virginia",Peraton / SAIC (indicative); GDIT; Leidos,"TS/SCI SR. NETWORK ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (GDIT OR Leidos) AND (Mount Vernon)",10
480691,SECRET MICROSOFT SYSTEMS ENGINEER,"Goose Creek, South Carolina",L3Harris; Scale AI; L3Harris (historical),"SECRET MICROSOFT SYSTEMS ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Scale AI OR L3Harris (historical)) AND (Goose Creek)",7
479729,SECRET NETWORK ADMINISTRATOR II (DAYS),"Montgomery, Alabama","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","SECRET NETWORK ADMINISTRATOR II (DAYS), Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10
239366,SALES ENGINEER,"Colorado Springs, Colorado",Multi (SAIC supports parts); SAIC; SAIC (major integrator; autonomy & AI work),"SALES ENGINEER, None, federal contractor","""Engineering Manager"" AND (Multi (SAIC supports parts) OR SAIC) AND (Colorado Springs)",10
480429,SECRET WINDOWS SYSTEMS ADMINISTRATOR,"Dahlgren, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","SECRET WINDOWS SYSTEMS ADMINISTRATOR, Secret, federal contractor","""Hiring Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Leidos) AND (Dahlgren)",9
480693,SECRET DEVOPS ENGINEER,"Goose Creek, South Carolina",Leidos; SAIC; Peraton / SAIC (indicative),"SECRET DEVOPS ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Peraton / SAIC (indicative)) AND (Goose Creek)",8
476947,TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER,"Wilmington, Massachusetts",Raytheon (indicative); Raytheon; Leidos,"TS/SCI SENIOR OPTICAL SYSTEMS ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (Raytheon OR Leidos) AND (Wilmington)",6
478024,SR PROJECT ENGINEER,"Tampa, Florida",Peraton; Leidos,"SR PROJECT ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Peraton OR Leidos) AND (Tampa)",8
480900,TOP SECRET VIRTUALIZATION/STORAGE ENGINEER,"Dahlgren, Virginia",Leidos; Peraton / SAIC (indicative),"TOP SECRET VIRTUALIZATION/STORAGE ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (Leidos OR Peraton / SAIC (indicative)) AND (Dahlgren)",9
483878,TS/SCI SOFTWARE ENGINEER (AFSIM),"Beavercreek, Ohio",SAIC (via Engility); SAIC; Leidos,"TS/SCI SOFTWARE ENGINEER (AFSIM), TS/SCI, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Beavercreek)",6
480804,CLEARED MS&A DEVELOPER,"Sunset, Utah",Lockheed Martin; Leidos; Northrop Grumman,"CLEARED MS&A DEVELOPER, Top Secret, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Northrop Grumman) AND (Sunset)",8
421667,TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST,"Jessup, Maryland",Peraton; Leidos,"TS/SCI WITH POLY CYBER NETWORK DEFENSE AND EXPLOITATION ANALYST, TS/SCI Poly, federal contractor","""Analytics Manager"" AND (Peraton OR Leidos) AND (Jessup)",9
477411,SECRET RF SYSTEM ENGINEER,"Salt Lake City, Utah",Northrop Grumman; SAIC; Leidos,"SECRET RF SYSTEM ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Salt Lake City)",6
482591,MAINTENANCE DATA SPECIALIST,"Atlanta, Georgia",SAIC; Leidos,"MAINTENANCE DATA SPECIALIST, None, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Atlanta)",6
481991,REGISTERED NURSE,"Muscatine, Iowa",L3Harris; L3Harris (historical); Leidos,"REGISTERED NURSE, None, federal contractor","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Muscatine)",4
481690,SECRET TECHNICAL EDITOR,"Rivanna, Virginia",Northrop Grumman (prime); CACI (support); GDIT; CACI,"SECRET TECHNICAL EDITOR, Top Secret, federal contractor","""Hiring Manager"" AND (Northrop Grumman (prime); CACI (support) OR CACI) AND (Rivanna)",7
476216,"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)","Colorado Springs, Colorado",Multi (SAIC supports parts); SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); CACI,"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO), Top Secret, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1)) AND (Colorado Springs)",12
482242,PYTHON TESTER - V&V,"Sainte-Anne-De-Bellevue, Quebec",Leidos,"PYTHON TESTER - V&V, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Sainte-Anne-De-Bellevue)",10
371817,HOSPITAL SECURITY OFFICER,"Tarpon Springs, Florida",Leidos,"HOSPITAL SECURITY OFFICER, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Tarpon Springs)",8
479796,TRANSITION TO OPERATIONS ENGINEER,"El Segundo, California",L3Harris (historical); SAIC; Leidos,"TRANSITION TO OPERATIONS ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (El Segundo)",8
456635,SOFTWARE ENGINEER (C++),"Dayton, Ohio",SAIC; Leidos,"SOFTWARE ENGINEER (C++), None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Dayton)",6
473918,PROGRAM MANAGER,"Deerfield Beach, Florida",GDIT; Leidos,"PROGRAM MANAGER, Secret, federal contractor","""Director"" AND (GDIT OR Leidos) AND (Deerfield Beach)",6
480397,KUBERNETES ADMINISTRATOR,"Dayton, Ohio",SAIC; Leidos,"KUBERNETES ADMINISTRATOR, TS/SCI, federal contractor","""Hiring Manager"" AND (Leidos) AND (Dayton)",6
483118,SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA,"Wilmington, Delaware",SAIC; Leidos,"SENIOR ANALYST – IT CAPITAL FINANCIAL MANAGEMENT – INTL INDIA, None, federal contractor","""Analytics Manager"" AND (SAIC OR Leidos) AND (Wilmington)",8
480826,NONDESTRUCTIVE EVALUATION ENGINEER (NDE),"Berkeley, Missouri",SAIC; Leidos,"NONDESTRUCTIVE EVALUATION ENGINEER (NDE), None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Berkeley)",4
470275,C++ SOFTWARE ENGINEER,"Huntsville, Alabama",GDIT; Leidos,"C++ SOFTWARE ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (GDIT OR Leidos) AND (Huntsville)",4
478314,TOP SECRET HARDWARE TECH,"Monroeville, Pennsylvania",SAIC; Leidos,"TOP SECRET HARDWARE TECH, Top Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Monroeville)",10
479791,VERIFICATION & VALIDATION ENGINEER,"El Segundo, California","Leidos; Multiple: SAIC, Leidos, Booz Allen Hamilton; Northrop Grumman","VERIFICATION & VALIDATION ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (Leidos OR Northrop Grumman) AND (El Segundo)",13
452489,WELDER,"Huntsville, Alabama",L3Harris; L3Harris (historical); Leidos,"WELDER, Secret, federal contractor","""Hiring Manager"" AND (L3Harris (historical) OR Leidos) AND (Huntsville)",4
480530,SPECIAL EDUCATION PARAPROFESSIONAL,"Salem, Massachusetts",Raytheon & Northrop Grumman; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"SPECIAL EDUCATION PARAPROFESSIONAL, None, federal contractor","""Hiring Manager"" AND (Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work) OR Leidos) AND (Salem)",6
477052,MARINE ELECTRICIAN,"Kings Bay, Georgia",L3Harris (historical); Leidos,"MARINE ELECTRICIAN, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",4
477076,STRUCTURAL WELDER,"Kings Bay, Georgia",L3Harris (historical); Leidos,"STRUCTURAL WELDER, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",6
470335,SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,"Hill AFB, Utah",Leidos; SAIC / LinQuest (indicative); Northrop Grumman,"SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC / LinQuest (indicative) OR Northrop Grumman) AND (Hill AFB)",14
479486,2ND SHIFT CNC MACHINIST LEVEL 5,"Huntsville, Alabama",L3Harris (historical); Leidos,"2ND SHIFT CNC MACHINIST LEVEL 5, Secret, federal contractor","""Hiring Manager"" AND (Leidos) AND (Huntsville)",4
